"name","country","operator","users","purpose","perigee","apogee","launch_mass","date_of_launch","expected_lifetime",
"1HOPSAT-TD (1st-generation High Optical Performance Satellite)","USA","Hera Systems","Commercial","Earth Observation",566,576,22,2019-12-11,0.500000,
"Aalto-1","Finland","Aalto University","Civil","Technology Development",497,517,5,2017-06-23,2.000000,
"AAUSat-4","Denmark","University of Aalborg","Civil","Earth Observation",442,687,1,2016-04-25,-1.000000,
"ABS-2 (Koreasat-8, ST-3)","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications",35778,35793,6330,2014-02-06,15.000000,
"ABS-2A","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications",35700,35700,1800,2016-06-15,15.000000,
"ABS-3A","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications",35788,35803,2000,2015-03-02,15.000000,
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications",35780,35793,4143,2004-03-13,12.000000,
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)","Multinational","Asia Broadcast Satellite Ltd.","Commercial","Communications",35777,35794,2894,1999-09-26,15.000000,
"Adelis-Sampson 1","Israel","Asher Space Research Institute at Technion/Israeli Aircraft Industries","Government","Technology Development",538,561,9,2021-03-22,-1.000000,
"Adelis-Sampson 2","Israel","Asher Space Research Institute at Technion/Israeli Aircraft Industries","Government","Technology Development",539,599,9,2021-03-22,-1.000000,
"Adelis-Sampson 3","Israel","Asher Space Research Institute at Technion/Israeli Aircraft Industries","Government","Technology Development",537,561,9,2021-03-22,-1.000000,
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation",35700,35800,5400,2020-12-11,-1.000000,
"Advanced Orion 4 (Mentor, NROL 6, USA 139)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation",35560,36013,5200,1998-05-09,-1.000000,
"Advanced Orion 5 (Mentor, NROL 19, USA 171)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation",35589,35984,5200,2003-09-09,-1.000000,
"Advanced Orion 6 (Mentor, NRO L-26, USA 202)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation",35714,35937,5400,2009-01-18,-1.000000,
"Advanced Orion 7 (Mentor, NRO L-32, USA 223)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation",35500,35500,5000,2010-11-21,-1.000000,
"Advanced Orion 8 (Mentor, NRO L-15, USA 237)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation",35771,35805,5000,2012-06-29,-1.000000,
"Advanced Orion 9 (Mentor, NRO L-37, USA 268)","USA","National Reconnaissance Office (NRO)","Military","Earth Observation",35613,35903,5000,2016-06-11,-1.000000,
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)","USA","US Air Force","Military","Communications",35772,35801,6169,2012-05-03,14.000000,
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)","USA","US Air Force","Military","Communications",35700,35803,6169,2013-09-18,14.000000,
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)","USA","US Air Force","Military","Communications",35781,35790,6169,2018-10-17,-1.000000,
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 292)","USA","US Air Force","Military","Communications",35780,35810,6169,2019-08-08,-1.000000,
"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)","USA","US Air Force","Military","Communications",35780,35780,6169,2020-03-26,-1.000000,
"Aeneas","USA","Department of Homeland Security","Government","Technology Development",480,790,3,2012-09-13,-1.000000,
"Aeolus","ESA","European Space Agency (ESA)","Government","Earth Observation",314,317,1367,2018-08-22,3.000000,
"Aerocube 10A (Jimsat)","USA","Aerospace Corporation","Commercial","Technology Development",469,481,2,2019-08-09,-1.000000,
"Aerocube 10B (Dougsat)","USA","Aerospace Corporation","Commercial","Technology Development",471,483,2,2019-08-09,-1.000000,
"Aerocube 11A (TOMSat Eagle Scout)","USA","Aerospace Corporation","Commercial","Technology Development",495,511,4,2018-12-17,-1.000000,
"Aerocube 11B (TOMSat R3)","USA","Aerospace Corporation","Commercial","Technology Development",492,511,4,2018-12-17,-1.000000,
"Aerocube 12A","USA","Aerospace Corporation","Commercial","Technology Development",481,487,4,2018-07-16,-1.000000,
"Aerocube 12B","USA","Aerospace Corporation","Commercial","Technology Development",481,487,4,2018-07-16,-1.000000,
"Aerocube 14A","USA","Aerospace Corporation","Military","Technology Development",459,474,-1,2020-01-31,-1.000000,
"Aerocube 14B","USA","Aerospace Corporation","Military","Technology Development",459,474,-1,2020-01-31,-1.000000,
"Aerocube 15A","USA","Aerospace Corporation","Military","Technology Development",458,474,-1,2020-01-31,-1.000000,
"Aerocube 5C","USA","Aerospace Corporation","Commercial","Technology Development",500,802,2,2015-10-08,-1.000000,
"Aerocube 6A","USA","Aerospace Corporation","Commercial","Technology Development",614,700,5,2014-06-19,3.000000,
"Aerocube 6B","USA","Aerospace Corporation","Commercial","Technology Development",614,700,5,2014-06-19,3.000000,
"Aerocube 7A","USA","Aerospace Corporation","Commercial","Technology Development",500,802,2,2015-10-08,-1.000000,
"Aerocube 7B","USA","Aerospace Corporation","Commercial","Technology Development",432,437,2,2017-11-12,-1.000000,
"Aerocube 7C","USA","Aerospace Corporation","Commercial","Technology Development",432,437,2,2017-11-12,-1.000000,
"Aerocube 8C","USA","Aerospace Corporation","Commercial","Technology Development",569,584,5,2016-11-11,-1.000000,
"Aerocube 8D","USA","Aerospace Corporation","Commercial","Technology Development",572,584,2,2016-11-11,-1.000000,
"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])","Multinational","EUTELSAT S.A.","Commercial","Communications",35764,35808,3460,2008-12-20,15.000000,
"AII-Bravo","USA","Aurora Insight","Commercial","Communications",609,613,9,2021-04-29,-1.000000,
"AII-Charlie","USA","Aurora Insight","Commercial","Communications",522,535,9,2021-01-24,-1.000000,
"AIM (Aeronomy of Ice in Mesosphere)","USA","Center for Atmospheric Sciences, Hampton University/NASA","Government","Earth Observation",544,552,215,2007-04-25,2.000000,
"AISSat-1 (Automatic Identification System Satellite-1)","Norway","Norwegian Coastal Admnistration","Government","Communications",615,632,6,2010-07-12,3.000000,
"AISSat-2 (Automatic Identification System Satellite-2)","Norway","Norwegian Coastal Admnistration","Government","Communications",625,631,6,2014-07-08,3.000000,
"AISTechSat-2","Spain","AISTech","Commercial","Earth Observation",574,592,3,2018-12-03,-1.000000,
"AISTechSat-3","Spain","AISTech","Commercial","Earth Observation",490,506,2,2019-04-01,-1.000000,
"Al Yah-3","United Arab Emirates","Al Yah Satellite Communications Co. (YAHSAT)","Commercial","Communications",35777,35796,3795,2018-01-25,15.000000,
"Alcomsat (Algerian Communications Satellite)","Algeria","Algerian Space Agency (ASAL)","Government","Communications",35744,35798,5225,2017-12-10,15.000000,
"ALE-2 (Astro Live Experiences-2)","Japan","Astro Live Experiences","Commercial","Earth Science",397,414,75,2019-12-06,-1.000000,
"Alfa Crux","Brazil","University of Brasilia","Civil","Technology Development",499,511,1,2022-04-01,-1.000000,
"Al-Farabi-2","Kazakhstan","Al-Farabi Kazakh National University","Civil","Technology Development",573,589,4,2018-12-03,-1.000000,
"ALiCE  (AFIT LEO iMESA CNT E)","USA","US Air Force Institute of Technology","Military","Technology Development",443,886,5,2013-12-06,-1.000000,
"Alsat-1B","Algeria","Algerian Space Agency (ASAL)","Government","Earth Observation",661,704,103,2016-09-26,5.000000,
"Alsat-1N","Algeria","Algerian Space Agency (ASAL)/UK Space Agency","Government","Technology Development",661,698,10,2016-09-26,-1.000000,
"Alsat-2A (Algeria Satellite 2A)","Algeria","Algerian Space Agency (ASAL)","Government","Earth Observation",672,674,130,2010-07-12,5.000000,
"Alsat-2B","Algeria","Algerian Space Agency (ASAL)","Government","Earth Observation",646,660,117,2016-09-26,5.000000,
"Amazonas-2","Spain","Hispamar (subsidiary of Hispasat - Spain)","Commercial","Communications",35767,35805,5465,2009-10-01,15.000000,
"Amazonas-3","Spain","Hispamar (subsidiary of Hispasat - Spain)","Commercial","Communications",35781,35791,6265,2013-02-07,15.000000,
"Amazonas-4A","Spain","Hispamar (subsidiary of Hispasat - Spain)","Commercial","Communications",35784,35795,2938,2014-03-22,15.000000,
"Amazonas-5","Spain","Hispamar (subsidiary of Hispasat - Spain)","Commercial","Communications",35785,35789,5900,2017-09-12,15.000000,
"Amazonia-1 (SSR-1)","Brazil","National Institute for Space Research (INPE)","Government","Earth Observation",761,764,637,2021-02-28,4.000000,
"AMC-1 (Americom 1, GE-1)","USA","SES S.A.","Commercial","Communications",35772,35800,2783,1996-09-08,15.000000,
"AMC-11 (Americom-11, GE 11)","USA","SES S.A.","Commercial","Communications",35774,35797,2340,2004-05-19,15.000000,
"AMC-15 (Americom-15)","USA","SES S.A.","Commercial","Communications",35777,35795,4200,2004-10-14,15.000000,
"AMC-18 (Americom 18)","USA","SES S.A.","Commercial","Communications",35773,35800,2081,2006-12-08,15.000000,
"AMC-21 (Americom 21)","USA","SES S.A.","Commercial","Communications",35778,35793,2500,2008-08-14,15.000000,
"AMC-4 (Americom-4, GE-4)","USA","SES S.A./Gogo","Commercial","Communications",35781,35791,3909,1999-11-13,15.000000,
"AMC-6 (Americom-6, GE-6)","USA","SES S.A.","Commercial","Communications",35778,35795,3901,2000-10-22,15.000000,
"AMC-8 (Americom-8, GE-8, Aurora 3)","USA","SES S.A.","Commercial","Communications",35773,35798,2015,2000-12-19,15.000000,
"AmGU-1 (AmurSat-1)","Russia","Moscow State University","Civil","Space Science",514,547,4,2019-07-05,-1.000000,
"Amos 17","Israel","Space-Communication Ltd.","Military/Commercial","Communications",35777,35793,6500,2019-08-06,20.000000,
"Amos 3","Israel","Space-Communication Ltd.","Military/Commercial","Communications",35783,35789,-1,2008-04-28,12.000000,
"Amos 4","Israel","Space-Communication Ltd.","Military/Commercial","Communications",35633,35796,-1,2013-08-31,12.000000,
"Amsat-Oscar 7 (AO-7)","USA","AMSAT-NA","Civil","Communications",1440,1459,29,1974-11-15,-1.000000,
"ANASIS-II (Army, Navy Air Force Satellite Information System 2, KMilSatCom 1)","South Korea","Agency for Defense Development","Military","Communications",35781,35792,-1,2020-07-20,15.000000,
"ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors)","USA","ANDESITE - Boston University","Civil","Space Science/Technology Demonstration",582,600,9,2020-06-13,-1.000000,
"ANGELS (Argos Neo on a Generic Economical and Light Satellite)","ESA","Centre National d'Etudes Spatiales (CNES)","Government","Communications",509,524,18,2019-12-18,-1.000000,
"Anik F1","Canada","Telesat Canada Ltd. (BCE, Inc.)","Commercial","Communications",35778,35793,4710,2000-11-21,15.000000,
"Anik F1R","Canada","Telesat Canada Ltd. (BCE, Inc.)","Commercial","Communications",35777,35795,4500,2005-09-09,15.000000,
"Anik F2","Canada","Telesat Canada Ltd. (BCE, Inc.)","Commercial","Communications",35781,35790,5910,2004-07-18,15.000000,
"Anik F3","Canada","Telesat Canada Ltd. (BCE, Inc.)","Commercial","Communications",35778,35794,4715,2007-04-09,15.000000,
"Anik G1","Canada","Telesat Canada Ltd. (BCE, Inc.)","Commercial","Communications",35773,35799,4905,2013-04-15,15.000000,
"AprizeSat 1 (LatinSat-C)","Argentina","Aprize Satellite, Argentina","Commercial","Communications/Technology Development",696,764,12,2004-06-29,-1.000000,
"AprizeSat 10 (exactView-13)","USA/Argentina","Aprize Satellite, Argentina","Commercial","Communications/Maritime Tracking",613,733,12,2014-06-19,-1.000000,
"AprizeSat 2 (LatinSat-D)","Argentina","Aprize Satellite, Argentina","Commercial","Communications/Technology Development",694,850,12,2004-06-29,-1.000000,
"AprizeSat 3","USA/Argentina","Aprize Satellite, Argentina","Commercial","Communications/Maritime Tracking",559,662,12,2009-07-29,-1.000000,
"AprizeSat 4","USA/Argentina","Aprize Satellite, Argentina","Commercial","Communications/Maritime Tracking",604,674,12,2009-07-29,-1.000000,
"AprizeSat 5","Canada","Aprize Satellite, Argentina","Commercial","Communications",610,694,12,2011-08-17,-1.000000,
"AprizeSat 7","Canada","Aprize Satellite, Argentina","Commercial","Communications",594,653,12,2013-11-21,-1.000000,
"AprizeSat 8 (exactView-12)","USA/Argentina","Aprize Satellite, Argentina","Commercial","Communications/Maritime Tracking",594,669,12,2013-11-21,-1.000000,
"AprizeSat 9 (exactView-11)","Canada","exactEarth","Commercial","Communications/Maritime Tracking",613,715,12,2014-06-19,-1.000000,
"Apstar 6C","China","APT Satellite Holdings Ltd.","Commercial","Communications",35783,35790,-1,2018-05-03,15.000000,
"Apstar 6D","China","APT Satellite Holdings Ltd.","Commercial","Communications",35785,35885,5550,2020-07-09,15.000000,
"Apstar 7","China","APT Satellite Holdings Ltd.","Commercial","Communications",35864,35874,5054,2012-03-31,15.000000,
"Apstar 9","China","APT Satellite Holdings Ltd.","Commercial","Communications",35782,35788,5200,2015-10-16,15.000000,
"Arabsat 5C","Multinational","Arab Satellite Communications Org. (ASCO)","Government","Communications",35766,35805,4630,2011-09-21,15.000000,
"Arabsat 6A","Multinational","Arab Satellite Communications Org. (ASCO)","Commercial","Communications",35774,35811,6465,2019-04-11,15.000000,
"ARCE 1A (Articulated Reconnaissance and Communications Expedition-1)","USA","University of South Florida, Institute of Applied Engineering (IAE).","Civil","Technology Development",526,535,1,2021-01-24,-1.000000,
"ARCE 1B (Articulated Reconnaissance and Communications Expedition-1)","USA","University of South Florida, Institute of Applied Engineering (IAE).","Civil","Technology Development",522,536,1,2021-01-24,-1.000000,
"ARCE 1C (Articulated Reconnaissance and Communications Expedition-1)","USA","University of South Florida, Institute of Applied Engineering (IAE).","Civil","Technology Development",522,536,1,2021-01-24,-1.000000,
"ARCSAT","Norway","Norwegian Defence Research Establishment","Military","Technology Demonstration",499,510,10,2022-04-01,-1.000000,
"ARICA","Japan","Aoyama Gakuin University in Tokyo","Civil","Technology Development",547,572,1,2021-11-08,-1.000000,
"Arktika-M1","Russia","Naval Physical and Oceanographic Laboratory","Government","Earth Observation",1025,39754,2200,2021-02-28,7.000000,
"Arkyd-6A","USA","Planetary Resources","Commercial","Technology Development",493,505,10,2018-01-11,-1.000000,
"ARMADILLO (Attitude Related Maneuvers and Debris Instrument in Low (L) Orbit)","USA","Satellite Design Laboratory UT Austin/Baylor University","Civil","Technology Development",305,851,4,2019-06-25,-1.000000,
"ArSat 1","Argentina","ArSat","Commercial","Communications",35778,35795,3000,2014-10-16,15.000000,
"ArSat 2","Argentina","ArSat","Commercial","Communications",35786,35801,2977,2015-09-30,15.000000,
"Arthur","Belgium","Aerospacelab","Commercial","Earth Observation",512,535,20,2021-06-30,-1.000000,
"ASELSAT","Turkey","Istanbul Technical  University","Civil","Earth Observation",522,536,5,2021-01-24,-1.000000,
"AsiaSat-5","China","Asia Satellite Telecommunications Co. Ltd.","Commercial","Communications",35778,35795,3760,2009-08-11,15.000000,
"AsiaSat-6 (Thaicom-7)","China","Asia Satellite Telecommunications Co. Ltd.","Commercial","Communications",35783,35793,3700,2014-09-07,15.000000,
"AsiaSat-7","China","Asia Satellite Telecommunications Co. Ltd.","Commercial","Communications",35782,35793,3813,2011-11-25,15.000000,
"AsiaSat-8","China","Asia Satellite Telecommunications Co. Ltd.","Commercial","Communications",35781,35793,4500,2014-08-05,15.000000,
"AsiaSat-9","China","Asia Satellite Telecommunications Co. Ltd.","Commercial","Communications",35783,35790,6140,2017-09-28,15.000000,
"AsiaStar","USA","1Worldspace","Commercial","Communications",35773,35801,2775,2000-03-21,15.000000,
"ASNARO 1 (Advanced Satellite with New system Architecture for Observation)","Japan","Japan Space Systems","Government","Earth Observation",506,507,500,2014-11-06,3.000000,
"ASNARO 2 (Advanced Satellite with New system Architecture for Observation)","Japan","Japan Space Systems","Government","Earth Observation",493,505,570,2018-01-17,3.000000,
"ASTERISC (Asutarisuku)","Japan","Chiba Institute of Technology","Civil","Technology Development",556,573,4,2021-11-08,-1.000000,
"Astra 1G","Luxembourg","SES S.A.","Commercial","Communications",35780,35791,3379,1997-12-02,15.000000,
"Astra 1KR","Luxembourg","SES S.A.","Commercial","Communications",35766,35807,4332,2006-04-20,15.000000,
"Astra 1L","Luxembourg","SES S.A.","Commercial","Communications",35772,35798,4500,2007-05-04,15.000000,
"Astra 1M","Luxembourg","SES S.A.","Commercial","Communications",35804,35852,5345,2008-11-05,15.000000,
"Astra 1N","Luxembourg","SES S.A.","Commercial","Communications",35715,35780,5350,2011-08-06,15.000000,
"Astra 2A","Luxembourg","SES S.A.","Commercial","Communications",35776,35797,3635,1998-08-30,15.000000,
"Astra 2C","Luxembourg","SES S.A.","Commercial","Communications",35768,35804,3643,2001-06-16,15.000000,
"Astra 2D","Luxembourg","SES S.A.","Commercial","Communications",35770,35802,1420,2000-12-19,15.000000,
"Astra 2E (Eutelsat 28E)","Luxembourg","SES S.A.","Commercial","Communications",35781,35793,6052,2013-09-29,15.000000,
"Astra 2F (Eutelsat 28F)","Luxembourg","SES S.A.","Commercial","Communications",35777,35795,6000,2012-09-28,15.000000,
"Astra 2G (Eutelsat 28G)","Luxembourg","SES S.A.","Commercial","Communications",35785,35789,6000,2014-12-27,15.000000,
"Astra 3A","Luxembourg","SES S.A.","Commercial","Communications",35770,35804,1500,2002-03-29,10.000000,
"Astra 3B","Luxembourg","SES S.A.","Commercial","Communications",35768,35806,5471,2010-05-21,15.000000,
"Astra 5B","Luxembourg","SES S.A.","Commercial","Communications",35787,35793,5724,2014-03-22,15.000000,
"Astranis Demosat-2","USA","Astranis","Commercial","Technology Development",494,505,-1,2018-01-11,-1.000000,
"Astrocast-0101","Switzerland","Astrocast","Commercial","Communications",521,534,4,2021-01-24,-1.000000,
"Astrocast-0102","Switzerland","Astrocast","Commercial","Communications",523,535,4,2021-01-24,-1.000000,
"Astrocast-0103","Switzerland","Astrocast","Commercial","Communications",522,536,4,2021-01-24,-1.000000,
"Astrocast-0104","Switzerland","Astrocast","Commercial","Communications",524,537,4,2021-01-24,-1.000000,
"Astrocast-0105","Switzerland","Astrocast","Commercial","Communications",526,535,4,2021-01-24,-1.000000,
"Astrocast-0201","Switzerland","Astrocast","Commercial","Communications",512,535,4,2021-06-30,-1.000000,
"Astrocast-0202","Switzerland","Astrocast","Commercial","Communications",511,536,4,2021-06-30,-1.000000,
"Astrocast-0203","Switzerland","Astrocast","Commercial","Communications",511,536,4,2021-06-30,-1.000000,
"Astrocast-0204","Switzerland","Astrocast","Commercial","Communications",513,536,4,2021-06-30,-1.000000,
"Astrocast-0205","Switzerland","Astrocast","Commercial","Communications",513,535,4,2021-06-30,-1.000000,
"Astrosat","India","Telemetry Tracking and Command Network (ISTRAC) Centre","Government","Space Science",632,649,230,2015-09-28,5.000000,
"AT&T T16","USA","DirecTV, Inc.","Commercial","Communications",35653,36757,6350,2019-06-20,15.000000,
"Athena","USA","PointView Tech","Commercial","Communications",516,524,138,2020-09-02,-1.000000,
"Athena-Fidus  (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite)","France/Italy","Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI)","Government/Military","Communications",35784,35788,3080,2014-02-06,15.000000,
"Athenoxat-1 (Athene Noctua Experimental Satellite)","Singapore","Microspace Rapid Pvt Ltd.","Commercial","Technology Development",532,550,6,2015-12-16,-1.000000,
"Azerspace 1/Africasat-1a","Azerbaijan","Azercosmos","Government","Communications",35778,35794,3250,2013-02-07,15.000000,
"Azerspace 2/Intelsat-38","Azerbaijan","Azercosmos","Government","Communications",35750,35750,3500,2018-09-25,15.000000,
"Badr 4 (Arabsat 4B)","Multinational","Arab Satellite Communications Org. (ASCO)","Government","Communications",35780,35791,3304,2006-11-08,15.000000,
"Badr 5 (Arabsat 5B)","Multinational","Arab Satellite Communications Org. (ASCO)","Government","Communications",35834,35883,5420,2010-06-03,15.000000,
"Badr 5A (Arabsat 5A)","Multinational","Arab Satellite Communications Org. (ASCO)","Government","Communications",35605,35623,4940,2010-06-26,15.000000,
"Badr 6 (Arabsat 4AR)","Multinational","Arab Satellite Communications Org. (ASCO)","Government","Communications",35768,35805,3400,2008-07-07,15.000000,
"Badr 7 (Arabsat 6B)","Multinational","Arab Satellite Communications Org. (ASCO)","Government","Communications",35768,35817,5500,2015-11-10,15.000000,
"Bangabandhu 1","Bangladesh","Bangladesh Telecommunication Regulatory Commission (BTRC)","Government","Communications",35778,35793,3500,2018-05-11,15.000000,
"Baoyun","China","Tianyi Research Institute","Civil","Unknown",472,502,20,2021-12-06,-1.000000,
"BARS-M (Cosmos 2503)","Russia","Ministry of Defense","Military","Earth Observation",570,586,4000,2015-02-27,5.000000,
"BARS-M (Cosmos 2515)","Russia","Ministry of Defense","Military","Earth Observation",549,594,4000,2016-03-24,5.000000,
"BDSAGR-1","China","GasTianta and GZH-HNJ BDS AGR Co., Ltd.","Commercial","Earth Observation",613,634,40,2019-12-21,3.000000,
"BDSAT (CZE-BDSAT)","Czech Republic","Central European Institute of Technology","Government","Technology Demonstration",497,509,1,2022-04-01,-1.000000,
"Beesat-5 (Berlin Experimental and Educational Satellite-5)","Germany","Technical University Berlin","Civil","Technology Demonstration",535,558,1,2021-03-22,-1.000000,
"Beesat-6 (Berlin Experimental and Educational Satellite-6)","Germany","Technical University Berlin","Civil","Technology Demonstration",535,562,1,2021-03-22,-1.000000,
"Beesat-7 (Berlin Experimental and Educational Satellite-7)","Germany","Technical University Berlin","Civil","Technology Demonstration",535,562,1,2021-03-22,-1.000000,
"Beesat-8 (Berlin Experimental and Educational Satellite-8)","Germany","Technical University Berlin","Civil","Technology Demonstration",535,556,1,2021-03-22,-1.000000,
"Beesat-9 (Berlin Experimental and Educational Satellite-9, Tubsat-17)","Germany","Technical University Berlin","Civil","Technology Development",514,546,1,2019-07-05,-1.000000,
"Beidou 2-12 (Compass M3)","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21460,21595,2200,2012-04-28,8.000000,
"Beidou 2-13 (Compass M4)","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21452,21603,2200,2012-04-28,8.000000,
"Beidou 2-15 (Compass M6)","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21477,21574,3800,2012-09-18,8.000000,
"Beidou 2-16 (Compass G-6)","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",35775,35799,3800,2012-10-25,8.000000,
"Beidou 2-17 (IGSO-6)","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",35676,35890,4200,2016-03-30,8.000000,
"Beidou 2-18 (Compass G-7)","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",35776,35794,3800,2016-06-12,8.000000,
"Beidou 3I-1S","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",35796,36781,4200,2015-03-30,8.000000,
"Beidou 3I-2S","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",35606,35953,4200,2015-09-29,8.000000,
"Beidou 3M1","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21506,21549,800,2017-11-05,8.000000,
"Beidou 3M1 (Beidou 23)","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21509,21561,800,2019-09-22,8.000000,
"Beidou 3M1 (Beidou 24)","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21515,21554,800,2019-09-22,8.000000,
"Beidou 3M1 (Beidou 25)","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21541,22549,800,2017-11-05,8.000000,
"Beidou 3M-1S","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21520,21549,800,2015-07-25,8.000000,
"Beidou 3M-2S","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21521,21550,800,2015-07-25,8.000000,
"Beidou DW 26","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21514,21541,800,2018-01-11,8.000000,
"Beidou DW 27","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21516,21539,800,2018-01-11,8.000000,
"Beidou DW 28","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21508,21547,800,2018-02-12,8.000000,
"Beidou DW 29","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21504,21551,800,2018-02-12,8.000000,
"Beidou DW 30","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21521,21533,800,2018-03-29,8.000000,
"Beidou DW 31","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21542,22191,800,2018-03-29,8.000000,
"Beidou DW 32","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",35691,35876,800,2018-07-09,8.000000,
"Beidou DW 33","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21509,21545,800,2018-07-29,8.000000,
"Beidou DW 34","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21516,21538,800,2018-07-29,8.000000,
"Beidou DW 35","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21514,21540,800,2018-08-24,8.000000,
"Beidou DW 36","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21518,21537,800,2018-08-24,8.000000,
"Beidou DW 37","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21533,22193,800,2018-09-19,8.000000,
"Beidou DW 38","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21513,21541,800,2018-09-19,8.000000,
"Beidou DW 39","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21541,22195,800,2018-10-15,8.000000,
"Beidou DW 40","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21537,22195,800,2018-10-15,8.000000,
"Beidou DW 41","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",35776,35795,800,2018-11-01,8.000000,
"Beidou DW 42","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21523,22194,800,2018-11-18,8.000000,
"Beidou DW 43","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21531,22194,800,2018-11-18,8.000000,
"Beidou DW 44","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",35711,35847,800,2019-04-20,8.000000,
"Beidou DW 45","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",35773,35799,800,2019-05-17,8.000000,
"Beidou DW 46","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",35739,35838,800,2019-06-24,8.000000,
"Beidou DW 49","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",35681,35896,4200,2019-11-05,8.000000,
"Beidou DW 50","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21542,22194,800,2019-11-23,8.000000,
"Beidou DW 51","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21537,22192,800,2019-11-23,8.000000,
"Beidou DW 52","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21369,21561,800,2019-12-16,8.000000,
"Beidou DW 53","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",21530,22108,800,2019-12-16,8.000000,
"Beidou DW 55","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",35764,35809,800,2020-06-23,8.000000,
"Beidou G3 (Compass G-3)","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",35776,35797,2200,2020-03-09,8.000000,
"Beidou G4 (Compass G-4)","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",35764,35809,6000,2010-10-31,8.000000,
"Beidou G5 (Compass G-11)","China","Chinese Ministry of National Defense","Military/Government","Navigation/Global Positioning",35776,35799,2300,2012-02-24,8.000000,
